用户id,颜色,内存,评论
12531508529,黑色,128GB,"送货很快，黑色大气，内存128够用，64考虑太小，全新未拆封，喜欢，喜欢，电池容量很大&hellip;&hellip;
买家电，上京东，我喜欢这句广告语，值得推荐，好评，
xr性价比很高的，双卡，全网通，多款颜色可以选择&hellip;&hellip;"
12435782786,白色,128GB,"总体来说不错的，网络上大家说的各种问题，觉得其实也还好，信号至今没发现有大问题，外观带透明壳或者黑色稍薄一点的壳子，可以大幅度缓解黑边。
另外，说说优点，1.续航很给力，目前使用一周多，冲一次电，亮屏最少在8小时以上，2.尺寸刚好合适，个人比较喜欢3.价格很美丽，性价比超好，国行都很便宜，各种出问题也有保证。"
12500115403,红色,128GB,用之前的**手机拍的，红色很好看，正好今年本命年，嘻嘻嘻嘻嘻，手机比较厚，买了个手机套，套上去之后，感觉自己每天带了个砖，像素还不错，好像自动美化了色调啥的，晚上拍照片的时候会有一些模糊，刘海很丑，边框很大，但是，自家的孩子，也无所谓了
12407823264,珊瑚色,128GB,都说黑边大，我个人感觉还可以，因为iPhone7也是有黑边的！系统很流畅，比iPhone7流畅很多！面容解锁还可以，如果要特别灵敏需要去设置把直视开关关掉才行！珊瑚色很漂亮，这个颜色最好还是透明软壳比较好！手机确实比iPhone7厚，但还可以，没有很夸张，手感不错！
12442271301,红色,64GB,法拉利骚红色真的很风骚，女士特别适合也很相衬，机子屏幕开到最大，只有些许边框，可视范围极高，利用率也极高，裸机虽厚些，但手感极佳，加个全透明的壳就更好，既不流手又有份量。A12的处理速度很快，不会有一丝滞留。照片很清晰，电池的续航也很不错。
12501761265,蓝色,128GB,手感非常好，有重量，128G的空间，能安装许多东西，直接从iphone6换到iphone xr，果真是质的更换，屏幕也大，分辨率也大，存储空间也大，颜色也亮，蓝色，对天空的向往，iphone6用了 5年，看这个能用多少年
12339022867,黑色,128GB,当天晚上下单，第二天中午就到了。外观方面，黑色的机器很漂亮，手感没的说，这一代的iPhone喇叭比上一代好多了，有种重低音的感觉。速度方面因为我不打游戏，没有感受，日常完全足够了。完美的机器。
12443771481,黑色,128GB,边框果然可以停航空母舰哈哈哈哈，但是续航真香！双卡也不错，买之前看论坛说信号不好，还很担心来着，没想到一张电信卡一张联通卡，信号竟然还比原来好，感觉中奖了，开心呵呵哈哈哈。
12128632667,珊瑚色,128GB,"屏幕不错，PPI与现用iPhone6一样。XS Max的OLED是三星的P排列，绿像素458PPI，红(蓝)像素数量是绿像素的一半，也就458/sqrt(2)=324PPI，显示全红或全蓝图形的解析度与LCD是一样的。
除了3D Touch外，该有的都有了，速度挺快，很满意。"
12471977924,红色,128GB,用了几天，感觉还是很不错的。领了张券减了四百，不知道划不划算，反正也买了。红色真的太太太好看了！说句实话，XR除了屏幕的分辨率低了那么一点点之外，没什么缺点，电池续航也很棒！一天下来，发信息，玩游戏也不用充电！A12也是很赞的！反正用惯了苹果，永不卡机，真的换不了其他的安卓机（不谈爱国主义），后续再来谈用户感受
12337532578,蓝色,128GB,在京东买的第6部手机，体验感非常不错，不知道里面是不是加信号增强器之类的，信号特别好，地铁，开车，高铁都试过；屏幕显示没有说的那么夸装。
12444240763,白色,256GB,"真机很棒，做工还是一如既往！！
白色的玻璃后盖很漂亮！！
256G很爽！再也不用担心不够用了！！
全面屏真的很爽！
黑边问题确实有，不过可以接受，用黑色的壁纸就好了！！第三部iphone 了，感觉没必要上XsMax，死贵不说，很多功能用不到！都是A12芯片，足够用了！！！"
12343943522,红色,64GB,"电池续航挺好的 一天大概能用8.9个小时这样 人脸识别也很快
不得不提真是吃鸡神器 买来试了一把就吃鸡了 很清楚 远远就能看到人在哪 在网上看xr和x**xr的屏幕对眼睛好一些 xs更高清一些 感官和健康大家自己选择吧"
12306749341,蓝色,64GB,电池还可以，每天用3小时左右，消耗40的电量，觉得还是非常不错的，手感不错，加了个套子，镜头太高了，10月26号就买了，当天到货，棒极了！京东不错，#，你咋回事啊？！真是的管不住自己了呢！A12处理器真不错，要是手机能到6那么大，双卡，全面屏，加A12就完美了！
12383104343,黑色,64GB,感觉非常的nice ，很喜欢 加上活动时候买的还便宜了很多，个人觉得xr 比x 好太多，双卡双待 这就是非常方便的 ，虽然分辨率没有x 高，也不是双摄 但是没什么区别，也就一点点不同，很满意好评好评
12452703850,白色,128GB,"用了一段时间才来评价的，感觉还不错，手机非常的流畅，分辨率也很不错，感觉，续航能力非常的强，我现在还是有以前随身带充电宝的习惯，但是几乎已经用不上了，续航真的是史上最强，非常的nice。
表扬京东的物流"
12334351513,黑色,128GB,"宝贝收到了,卖家发货很快,物流也非常给力,客服
服务态度极好,很有耐心、给人一种亲切感,好喜
欢。还有包裝精美,高端大气上档次,看得出来商
家很用心。拿到手还不错吧,比较有质感,比6sp小
点,很流畅,续航是真的不错,信号还行"
12295516547,红色,128GB,用了一周，从ip6换过来，各方面都舒畅很好用，屏幕不刺眼，也一点没觉得黑框不舒适。之前纠结白色or红色，结果红色没有让我失望呀，很赞～物流小哥也很尽责，好评～
12431568783,白色,64GB,"够大，够实诚，续航出乎我意料，很足，中度使用一天完全没问题，这点值得夸奖。双卡双待，一机足矣。
暂时还未发现其他问题。"
12278486799,白色,128GB,看了很多差评，吓得我都不敢买了，结果收到后发现还不错，包装也很好，也是关机的，用了一个礼拜没出现过问题，用了五年华为的人觉得信号真不好，其他没话说，不错，都说又大又厚，我一个女生用起来单手确实不方便，但是手感挺好的，我很喜欢！
12410722780,红色,128GB,很好看呀！红色一级棒！手感一级棒！黑边完全可以无视！摄像头一级棒！信号毫无问题！从6sp转战XR无障碍！A12用起来速度流畅到可怕！
12393293650,黑色,128GB,手机挺好用，从6sp升上来，感觉还是有很大提升，用起来很顺溜，电池很给力，拍照好多，机器变小了，但是重量似乎差不多，整体质感不错的，大家讲的屏幕什么问题，我看不出来，我觉得挺适合我的，两张卡都能一起用，方便。
12156849103,红色,64GB,xr真是真香手机，本来担心手机笨重，边框大，分辨率低，结果完全不用担心，手机的手感非常圆润，很舒服，红色的 xr也很美貌，分辨率也可以接受，手机的优点在于速度快，续航好，性价比高，用到现在为止非常满意！
12481580650,白色,64GB,很不错呢，我跟详细的验机，通过了，，，，，，显示效果和手感都很不错，，，价格来说，，，真香！五星好评显示效果屏幕显示效果很好，触摸手感也很好，特别漂亮！运行速度速度真是没的说，比其他的牌子手机反应效果都要快，玩游戏一点也不卡。拍照效果拍照片的效果非常好，本人喜欢拍照片，各种自拍都觉得很好，修图也特别好用，非常简单方便。电池续航正常玩游戏一天一次，看电影电视剧也都没有关系。总结总体来说还是非常满意的，无论是运行速度，还有机身内存，都能满足我的要求，很愉快的一次购物。
12427446665,红色,64GB,7p的home键坏了，换机还是支持苹果，xr赶在降价的时候买的，流畅，好用的飞起，重要的是电池也经用，不用随时带个充电宝。物流很快！用了一段时间了，现在才来评价。
12537010908,黑色,128GB,买给老婆的，老婆超喜欢，128g5700元，xr黑色的黑边看不出，很好看，对比我自己的max没什么差别，屏幕和摄像头其实差距很小，而且xr比较轻，手感好，容量大（女人的照片多），性价比很高，白色xr的黑边就很明显，建议买黑色或者蓝色
12459763895,黄色,256GB,在众多用户评价中，iPhoneXR被提及最多的优点莫过于性能方面，苹果A12处理器在性能上真的不是盖的，跑分在35万左右，性能堪称行业的顶级水平，配合上流畅的IOS系统，iPhoneXR用户体验还是很出色的，此外Face ID的面部识别也很好用，速度相当的快
12469634029,黑色,128GB,给老婆买的，手机有点大哦，从6换到这手机的，所以对边框没什么感觉，感觉屏幕还不错，她是从来不贴膜的。用起来很顺滑。最主要是电池耐用啊！！！！现在让她用一天没任何问题。之前的6电池从30%可以直接关机。现在用一天再也不用担心了。
12553418032,红色,64GB,手机非常好，特别中意，比苹果x的屏幕还要大 ，买过最好最喜欢的手机，系统流畅 屏幕清晰 手感好，磨砂边框，玻璃后背，最主要是屏幕大呀，追剧非常好，大大大的喜欢！！！！
12050127384,红色,64GB,京东的快递和服务还是一样的赞，说说手机吧1，外观颜色红色的很好看，玻璃后盖红色比较亮。很喜欢。2，这个手机比较厚，比&times;max厚，比苹果6-7-8plus都厚。拿手感觉沉甸甸的感觉。3.测试了一下双卡在地@库信号比max好些。4，无限充电很爽，放在上面就可以充电了。5，电量还不错了，打个王者荣耀啥的很舒服。6.就是这个手机屏幕黑边实在有点框，感觉都赶上Max的2倍了。7.玻璃后盖很容易被指纹影响，不过没事就用自来水冲一下，然后把用纸擦一下就OK了。买给老婆用的，她很喜欢。也很开心。我也挺高兴的。总结一下，总体来说还是很错的，如果在意屏幕很边宽就不要买了，可以买个x价格差不多。对于我双卡的还是很方便了，一个手机出门了，又可以用比较流畅的系统。先用一段时间，到时候还会投入安卓。
12468120424,白色,64GB,移动款很抢手呀！和公开版没什么区别，上个苹果吃了四年，该换班了，留个印就上岗吧！白色版比较轻看，原还以为航母边框很宽，用上也没怎么觉得。立体声的觉得很强，原来是听筒也是喇叭。系统运行依然流畅，用段时间再来追评。
12482416395,红色,128GB,超级好用！确实有点重，单手躺着拿的久了，手腕酸。电池很耐用，红色超级无敌好看！这个性价比来说，很棒啦！没有home键，没有关系，习惯了手势操作之后，更快更方便了。再去拿我之前的6s，操作都不习惯了，哈哈哈
12449577136,黄色,128GB,喜欢的黄色，双卡很方便，一个新号用流量一个老号短信电话，我不玩游戏偶尔看剧所以屏幕分辨率没太高要求。128g ，5799分12期免息，感觉很划算了
12317906913,黑色,64GB,初入手感觉很不错，比手里的6p强很多啊！后悔买64g了，应该买128g的。缺点嘛，吐槽的边框倒是次要的，重要的是越用越感觉重！厚！用喜欢xr之后，不管拿到什么其他手机都感觉&ldquo;好轻，好薄&rdquo;，不愧是近年来最厚最重的iPhone！
12395206250,黄色,128GB,晚上脸部无法识别，用惯指纹了，这个还需要适应一下，总体感觉很好，选颜色好久怕驾驭不了黄色，没想到黄色很正，太喜欢了
12513343185,黑色,128GB,手机突然坏了，本来相等活动再购买，现在没办法。当天中午下单，没想到晚上就到了，。很惊喜。安装过程也很简单。主要以前苹果坏了，不然好像可以直接通过nfc安装原有的app，我见同事用过。手机反应速度超快，屏幕颜色，我觉得我足够了，没有追求xs那种。拍照勉勉强强，关键看拍照的技术，单摄像头可以了。景深很不错，很好玩。其他性能，用苹果的都知道了。就不多说了，性价比还不错的！对了，128g比64g贵400才，那果断128g的，毫不犹豫！满意！
12382107220,黑色,64GB,手机很好，屏幕清晰，没有网上说的，那样差，买到手才知道有多香，不错现在降价买正合适，5399入手，不错。双卡双待，待机时间，还可以快充，不错的，这价格入手正合适，64够用了，。送货速度快，昨晚上下单，今天早上就收到了，也检测了镜头没有灰尘，不错，值得入手的一个手机，比iPhone x差不了多少，单摄像头也不错，拍出照片一样不比iPhone x差的哪里去，有人说黑边大，我觉得，听别人说，没用，得自己买到手上，用才知道，黑边大不大，吃瓜群众哎，可以说黑边根本就不发，误导消费者，买到手上，上手你才知道iPhone xr是一款比iPhone x好的手机，。很好，价格实惠。现在可以说是最值得入手的时候，估计在不会降到比5399更低的价了，。值得入手，。iPhone xr你值得拥有，没有更好，只有最好。
12486331471,黑色,64GB,在苹果店看过无数回才在京东下单的 64g的内存很够 正常使用黑边没有影响 分辨率很好 虽然后置单摄 但拍照效果很棒 A12仿生处理器流畅的一批 电池容量可以 基本一天一充 面容ID解锁迅速 基本没有缺点 值得入手的高性价比 iPhone XR
12527681002,黑色,128GB,第一次使用苹果新产品，很激动啊，说真的，屏幕非常惊艳，操作反应迅速，昨天特意试了一天，电池的续航能力，很棒，打王者吃鸡高质量画质都不卡，几盘下来，不怎么发热，而且才消耗了百分之十几的电，真的牛啊！作为京东商城的老会员，我还是会一如既往的支持京东，感谢！
12382875172,黑色,64GB,录视频的手机像素太差，无法展现真实效果，速度很快，像素比6sp上很多个档次。边框问题不是很在意。满意！
12433326501,红色,256GB,手机收到了，红色很正很喜欢，电池很耐用，用了一天没离开手，电池才用了一半。用惯了苹果，系统转换很方便，下了一堆软件才用了18G，喜欢拍照，拍视频，追剧，玩游戏，256G太够用了。很赞
12354324479,红色,128GB,手机收到后还是很惊喜的，网上说的什么黑边个人觉得没啥影响，用了几天很流畅，电池的耐久比原来的7耐用很多，速度快，主要拍照效果真是强，是正品，希望这个手机可以再坚持，正品，比iPhoneX好多了，物流很快，物流超级快，一天就收到了，简直太棒太方便啦，必须全五星好评，而且白色很好看的，是给闺女买的，屏幕又变大了，刘海屏，大屏很好用，FACE ID 很灵敏，手感也很好，不戴套完美体验，速度快手感好，信号也不错，待机时间变得很长，很耐用，续航能力值得称赞，拍照效果：还行
12390648699,红色,128GB,红色确实很惊艳，苹果的品控相当好，前后玻璃面板，周边航空铝材，融合完美！A12处理器确实快，开什么应用都是秒开，很顺畅，什么LCD，大黑边，单摄根本无所谓，颜值就好&hellip;&hellip;不过我还是喜欢安卓，买来送人的，哈哈哈
12437746813,红色,128GB,红色的颜色很好看，比样机好看多了，之前苹果实体店里看了样机，觉得不是很好看，可是入手以后发现真的很好看，最重要的是双卡，真的挺方便的，价格也是非常良心，比实体店便宜不少，物美价廉。
12281127112,黄色,128GB,1.用了一个星期，总体不错。从6SP换过来的。买之前最担心的是XR的分辨率。用了感觉和6SP没啥区别。可能没和XS对比。没有对比就没有伤害。但是感觉够用了。2.电池续航不错，耐用，一天搞几把王者荣耀，刷刷~，够用。3.买的黄色的真心骚气，666。4.在京东上买过7个苹果手机iPad。每次收货开箱都有认真的检验。都不错，没有发现什么问题。5.双十二买的6999，500的券，没有双11的力度大吧。6.手机速度真心快，人脸识别也很好用。
12323894531,白色,128GB,确实很厚 边框很粗 可是续航无敌啊 屏幕分辨率完全不是问题 真的是最好的LCD屏幕 A12配合这个分辨率异常流畅 摄像头也很强大 宽容度巨高 单摄像头手机里绝对的第一梯队 真香！
12337101199,黑色,256GB,非常流畅 而且电池续航特别强大 一天就充一次电就行了 满电状态下一天可以挺过去 奈斯 开心 再也不用抱着又大又沉的充电宝上班了
12528914590,白色,128GB,这个手机真的挺好的，5800买的。128G内存感觉够用了。使用感受很顺滑，很顺畅。不后悔入手。只是现在苹果的做工真的是有待提高。有的缝隙处理的不均匀不太好。凭借着它强大的处理器和强大的视频拍摄能力。我相信苹果才是最好用的手机！
12118602853,黄色,64GB,真香～ 作为6s三年用户过渡到xr，这波真不亏，更大屏幕，更快的处理器，更好的摄像，nb的面容解锁，逆天的扬声器，无可挑剔屏幕，体验丝滑流畅的全面屏ios12，更快网络，双卡，超长续航，一开始受到网上黑粉还有个大自媒体对xr冷嘲，自己心生疑虑，眼看伴随自己三年的6s开始有小毛病，只好硬了头皮入了，收到玩了一晚，我只想说真香～xr真的值得买，没有黑粉说的那么不堪，屏幕一点不差，可以说是我见过最好的lcd全面屏，别被那些只看数据自媒体带节奏，颜色很好没有果粒橙，还有处理器真的厉害，我至今还没找到不能流畅运行的app，一打开扬声器真的惊艳到我，声音真的很大，音质音效真的nb，环绕效果，为啥苹果不拿这个扬声器做文章呢，真的可以吊打市面一堆手机，扬声器真的很棒，面容解锁真的好用，一开始我是不习惯刘海的，但是用过苹果面容解锁，我妥协了，真的很方便，指纹真是乐色，哪天苹果作出真正全面屏还能有面容解锁，那就完美了，总的来说提升真的很大，对得起这个价格，也确实是性价比最高的机型，xr不是低端机，它是三皇里面的一个，最值得买的一个，真香～ 还有续航真的很强，发热很低很低
12056138475,黑色,128GB,"屏幕并无颗粒状，跟苹果8屏幕色彩一致
lcd屏幕并不伤眼睛 很喜欢
音质超好的 a12运行飞快&hellip;&hellip;&hellip;&hellip;&hellip;
喜欢就是喜欢&hellip;&hellip;&hellip;   黑边好处是贴膜不怕白边 还有不怕误触"
12380064484,黑色,64GB,嗯，不错，很喜欢，就是买的时候忘记有***了，想哭，难受，屏幕显示并没有别人说的那么差，挺清晰的，环绕立体声不错，喜欢，听歌打游戏非常爽，吃鸡开到极限帧数，超流畅。电量续航能力很强，打游戏打很久都可以，还是满意的，就是心疼***
12448293794,红色,128GB,哈哈哈哈哈嗝～收到手机了，很惊喜！！！颜值跟我想象的一样高，质感很好，运行速度流畅而且快，而且像素很高清，自拍真的很心水，笔芯笔芯。续航不用说，特别的持久，出门根本不需要带充电宝，拍照功能更是自带美颜，对于普通用户绝对是性价比超高的一款手机
12423045906,白色,256GB,早就想换一台新手机了。上一台手机还是iphone 6，用了4年，电池续航能力很弱，屏幕触摸经常出错，应该换了！在购买Iphone XR之前，充分对比iphone X和Iphone X MAX，最后觉得双卡双待还是很有优势的！另外价格来讲，XR更具备优势，划算！至于屏幕分辨率和厚度的问题，根本不影响好吧。300多dpi就视网膜显示Retina Display了，要那么高的分辨率没有什么意义。关于内存大小直接选择256G没商量，如果想用得久，就选个分辨率足够大的，否则就涉及到频繁的数据迁移问题，现在的照片越来越大，想我这种重度摄影爱好者必须弄个最大内存的。目前使用了2天，基本上都很满意！
12441776290,白色,128GB,性价比很高的，本来挺担心屏幕分辨率的，拿到后发现也没有那么不堪！日常使用没有什么问题！A12性能真的很强，比iPhoneX更流畅～实用主义的产品～算是属于&ldquo;真香&rdquo;的范畴～
12278938485,红色,128GB,颜值惊艳，红的很有气质，感觉增加了自己的女人味，而且是我最喜欢的玻璃背板。系统运行很流畅，续航时间长，音质比前代产品有所提升，短板是分辨率比较低，没有3d touch，其他都很棒
12426694615,黄色,128GB,速度很快，系统一如既往的流畅。从6s升级到xr后，效果还是很明显的，横向尺寸更合手了。操作性更人性化，黄色的版本很靓，很值得入手。男女通吃的版本。最大的特点还是立体声扬声器。赞一个。
12345319790,珊瑚色,128GB,为女朋友选，在mate20pro之间犹豫了一小下，最终还是果断入了XR，原因很简单，iOS生态&hellip;从7P升级到XR没毛病！珊瑚色比想象中的好看！上手体验总结：这是个苹果手机！其他你们看专业测评吧！对了，补充两句，大黑边我没太注意！屏幕也还不错！
12506605109,黑色,128GB,又用回了苹果手机， 买个最新XR，三码合一，系统电池寿命100%，这个满意电量！电量！电量很耐扛，玩两小时游戏，听半小时听，中度使用能一天多点，这个好！！史上电池续航最强iphone，个人认为。
12320601534,黑色,64GB,屏幕清晰，不错在颗粒感，很清晰，不过有点滑，担心掉地上，所以一定要带个防滑的套，才安全，操作超级快
12276793747,珊瑚色,128GB,运行速度很快，颜值也很好，网上说的黑边，完全不影响它的美丽，从6升级上来，也没觉得屏幕显示不轻易，总体使用下来很满意，主要是爱它的颜值，珊瑚色很美～
12379560616,黄色,128GB,沒有真真的用过就真的没有资格去评论。使用了一下午，真的没有网上说的那么不堪。大黑边，我是从se过度来的感觉还行，无伤大雅。分辨率，326ppi完全够用，我又不是脸贴着屏幕。单摄，完全够用了，而且素质秒杀其他安卓手机。没有3D Touch，se也没有完全习惯了。所以我觉得XR的性价比非常高，他能够带给你95%xs的体验。
12423236688,黑色,128GB,"就一个纸皮包装盒，连个气垫都没有，没有任何填充物，包装是否太简单了？
手机很不错，信号和7plus一样，并没有出现信号差的问题，可能我这里信号本就很好。电池挺耐用，屏幕也很清晰，没看出来和7 plus有啥区别，总体非常满意。"
12424152631,白色,64GB,一体化，单摄的后壳非常漂亮，重量也不错，续航真的是史上最强，非常耐用，轻度使用可以用两天！惊喜！唯一遗憾是黑边太宽所以导致手机宽度没办法控制很好，单手操作会有些困难。熟悉的iOS味道，早已习惯了
12430377638,黑色,128GB,没拿到机器前很担心网上说的，信号，和边框问题，开箱用了一天后发现担心完全多余，唯一需要适应的是，从4.7到6.1尺寸的变化，不过大屏真的爽，手势太流畅了，face id 很快
12387964828,黄色,256GB,用了几天，操作简单，灵敏度极好，秒解锁。主要是看上屏大，电池续航和A12系统，再加上256的容量，很满意。我对手机颜值差不多就行了，经济实惠，皮实耐用。
12417963664,白色,128GB,很好用，最实惠的jd，神速派送。硬件手机大件哪里买最放心？还是看京东！a12处理器缺口很快，一秒打开app 无敌了！
12299527892,红色,64GB,"用了一个月
来评，手机运行速度杠杠的没卡过，从没用过黑色以外的手机感觉这个颜色好清新喜欢得不得了，信号比我之前的手机好太多太多（家中再无信号死角），我最常用的功能是看视频看直播，所以比较担心待机时间，目前来看还可以&hellip;&hellip;懒得拍照片让我爱豆给你们卖个萌吧"
12432037055,黑色,128GB,很顺畅，粗黑边看久了也就习惯了。插卡进去看了一下，移动信号最满也就3格这样，还行。一下午下载软件跟正常使用到了晚上掉了10%，续航不错，总之还是比较满意的，京东物流超快超赞！
12479289724,白色,128GB,手机收到了。确实是年度真香机，黑色边框其实还可以接受，续航能力真的强。昨晚拆开剩余百分之七十多的电，因为没怎么用又开了省电模式，到现在也没跑多少电。白色的手机特别好看，喜欢喜欢。
12379471982,红色,64GB,红色真香，去实体店看了一下纠结蓝色，红色，最后还是买了红色！红色一体感强一点，蓝色看着像塑料！速度很快，电池很耐用一天怎么用都妥妥的，没有网上说的信号很差，我用的移动和电信，信号正常，看习惯了2k屏幕的，这个屏幕字体没有那么清晰，会有锯齿，不用离的很近！准备用两年！
12444398600,黑色,128GB,"上一个手机用的安卓，用了3个月，特别卡。早就想买一个xr，爱于手机一直价格太高，黑边框和续航一直是我担心的。连续降价后，感觉这两个点也不算什么问题了！索性买了，用了一张400的抵**，加上12个月免息分期，感觉超值了！

这两天整体使用很流畅，我用的电信卡，感觉信号?很一般。其他担心的续航，我是半天班，上班玩游戏，看电影，浏览网页，一天一充没问题。"
12466365897,白色,128GB,就是喜欢苹果系统，用得很流畅，超级喜欢了，白色很好看，比别人说的好太多，黑色边框不算太宽，我目前暂时只用了一张卡，信号也很好。128g真的太够用了！用个三四年完全没问题
12510370547,白色,128GB,用了一个月才来评价的！拍照好看，屏幕分辨率也很好，目前可以不充电用2天，充电也快，虽然是单摄，拍照很清晰，非常好看，一直放大也很清楚。说大黑框不美观的，买了之后，真香。支持双卡双待，手机是正版的上官网查了，手机送来也是很好的，没有什么瑕疵，这次购物很让我满意，刷到我就赶紧下单吧！别犹豫了！对了！记得领***哦！总之就是优点多多没什么缺点，唯一的缺点就是信号不好了！赶紧下单吧！
12322154830,黑色,128GB,功能强大，电池抗用，真的不错，128G够用了，大家买吧，不要犹豫，买买买，系统强大，之前用8Puls，现在刚换，还不适应，慢慢的适应，一天一充，特别耐用。
12383846742,红色,128GB,特别好看，一直就很期待拥有一部双卡双待的iPhone，这回终于满足的自己的想法。有点小小激动呀！手机运行速度很快，一点都不卡，IOS系统还是特别好的，运行很流畅。这款手机，屏幕看着也很棒。整体上来说，性价比很是很高的。
